"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2016","128.03","129.52","131.00","127.83","4.23M","-1.14%"
"11/08/2016","129.50","129.84","130.00","129.34","1.04M","-0.26%"
"11/07/2016","129.84","129.86","130.00","129.77","788.42K","-0.31%"
"11/04/2016","130.25","130.02","130.38","129.94","1.34M","0.17%"
"11/03/2016","130.03","130.00","130.31","129.80","1.08M","0.00%"
"11/02/2016","130.03","129.73","130.27","129.72","1.48M","0.18%"
"11/01/2016","129.80","129.67","129.91","129.27","1.47M","0.14%"
"10/31/2016","129.62","129.59","129.72","129.48","1.09M","0.05%"
"10/28/2016","129.55","129.42","129.67","129.20","1.39M","0.02%"
"10/27/2016","129.52","129.89","129.91","129.30","1.58M","-0.32%"
"10/26/2016","129.94","130.19","130.30","129.86","1.05M","-0.18%"
"10/25/2016","130.17","130.14","130.31","129.94","1.04M","0.00%"
"10/24/2016","130.17","130.36","130.48","130.08","807.83K","-0.13%"
"10/21/2016","130.34","130.19","130.41","130.14","746.96K","0.05%"
"10/20/2016","130.28","130.31","130.48","130.12","1.07M","0.01%"
"10/19/2016","130.27","130.36","130.45","130.12","970.17K","-0.02%"
"10/18/2016","130.30","130.14","130.36","129.98","1.12M","0.14%"
"10/17/2016","130.12","129.80","130.20","129.70","838.46K","0.20%"
"10/14/2016","129.86","130.14","130.22","129.77","1.22M","-0.25%"
"10/13/2016","130.19","129.89","130.27","129.88","1.12M","0.29%"
"10/12/2016","129.81","129.84","129.91","129.53","1.22M","-0.06%"
"10/11/2016","129.89","129.81","130.03","129.69","1.12M","0.07%"
"10/10/2016","129.80","130.11","130.17","129.66","299.17K","-0.20%"
"10/07/2016","130.06","130.00","130.22","129.72","1.49M","0.08%"
"10/06/2016","129.95","130.23","130.39","129.94","1.30M","-0.21%"
"10/05/2016","130.22","130.47","130.61","130.09","1.21M","-0.21%"
"10/04/2016","130.50","130.92","131.03","130.44","1.40M","-0.34%"
"10/03/2016","130.95","131.22","131.23","130.91","775.03K","-0.13%"
"09/30/2016","131.12","131.50","131.73","131.06","1.67M","-0.33%"
"09/29/2016","131.55","131.38","131.67","131.17","1.17M","0.08%"
"09/28/2016","131.44","131.52","131.62","131.33","1.07M","-0.07%"
"09/27/2016","131.53","131.36","131.67","131.14","1.17M","0.17%"
"09/26/2016","131.31","131.06","131.45","131.00","828.18K","0.21%"
"09/23/2016","131.03","130.92","131.08","130.86","719.77K","0.13%"
"09/22/2016","130.86","130.70","131.09","130.66","1.08M","-0.40%"
"09/21/2016","131.38","131.42","131.56","131.19","7.54K","-0.08%"
"09/20/2016","131.48","131.33","131.66","131.33","12.47K","0.05%"
"09/19/2016","131.42","131.53","131.56","131.31","6.93K","0.01%"
"09/16/2016","131.41","131.58","131.80","131.39","3.16K","-0.03%"
"09/15/2016","131.45","131.38","131.72","131.17","12.25K","0.01%"
"09/14/2016","131.44","131.03","131.47","131.03","38.70K","0.36%"
"09/13/2016","130.97","131.50","131.73","130.81","31.26K","-0.37%"
"09/12/2016","131.45","131.25","131.58","131.16","7.41K","0.11%"
"09/09/2016","131.31","131.77","131.83","131.27","25.62K","-0.27%"
"09/08/2016","131.67","132.28","132.36","131.62","23.81K","-0.48%"
"09/07/2016","132.30","132.33","132.48","132.22","57.78K","0.00%"
"09/06/2016","132.30","131.67","132.36","131.56","46.68K","1.23%"
