"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2017","12.59","12.59","12.59","12.59","","-1.72%"
"10/30/2017","12.81","12.81","12.81","12.81","","0.55%"
"10/27/2017","12.74","12.74","12.74","12.74","","-7.35%"
"10/26/2017","13.75","13.75","13.75","13.75","","6.10%"
"10/25/2017","12.96","12.96","12.96","12.96","","5.28%"
"10/24/2017","12.31","12.31","12.31","12.31","","-2.69%"
"10/23/2017","12.65","12.65","12.65","12.65","","8.49%"
"10/20/2017","11.66","11.66","11.66","11.66","","-4.82%"
"10/19/2017","12.25","12.25","12.25","12.25","","13.95%"
"10/18/2017","10.75","10.75","10.75","10.75","","-2.18%"
"10/17/2017","10.99","10.99","10.99","10.99","","-2.92%"
"10/16/2017","11.32","11.32","11.32","11.32","","-0.35%"
"10/13/2017","11.36","11.36","11.36","11.36","","-6.19%"
"10/12/2017","12.11","12.11","12.11","12.11","","11.41%"
"10/11/2017","10.87","10.87","10.87","10.87","","-4.82%"
"10/10/2017","11.42","11.42","11.42","11.42","","-1.47%"
"10/09/2017","11.59","11.59","11.59","11.59","","1.76%"
"10/06/2017","11.39","11.39","11.39","11.39","","-0.35%"
"10/05/2017","11.43","11.43","11.43","11.43","","3.91%"
"10/04/2017","11.00","11.00","11.00","11.00","","-3.25%"
"10/03/2017","11.37","11.37","11.37","11.37","","-5.09%"
"10/02/2017","11.98","11.98","11.98","11.98","","-3.78%"
"09/29/2017","12.45","12.45","12.45","12.45","","-7.98%"
"09/28/2017","13.53","13.53","13.53","13.53","","5.62%"
"09/27/2017","12.81","12.81","12.81","12.81","","-1.99%"
"09/26/2017","13.07","13.07","13.07","13.07","","-3.68%"
"09/25/2017","13.57","13.57","13.57","13.57","","9.44%"
"09/22/2017","12.40","12.40","12.40","12.40","","0.40%"
"09/21/2017","12.35","12.35","12.35","12.35","","13.72%"
"09/20/2017","10.86","10.86","10.86","10.86","","-1.00%"
"09/19/2017","10.97","10.97","10.97","10.97","","-3.77%"
"09/18/2017","11.40","11.40","11.40","11.40","","1.15%"
"09/15/2017","11.27","11.27","11.27","11.27","","-8.22%"
"09/14/2017","12.28","12.28","12.28","12.28","","14.23%"
"09/13/2017","10.75","10.75","10.75","10.75","","-5.62%"
"09/12/2017","11.39","11.39","11.39","11.39","","-4.53%"
"09/11/2017","11.93","11.93","11.93","11.93","","-13.80%"
"09/08/2017","13.84","13.84","13.84","13.84","","4.77%"
"09/07/2017","13.21","13.21","13.21","13.21","","6.62%"
"09/06/2017","12.39","12.39","12.39","12.39","","-6.28%"
"09/05/2017","13.22","13.22","13.22","13.22","","6.01%"
"09/01/2017","12.47","12.47","12.47","12.47","","-1.97%"
"08/31/2017","12.72","12.72","12.72","12.72","","4.69%"
"08/30/2017","12.15","12.15","12.15","12.15","","-6.11%"
"08/29/2017","12.94","12.94","12.94","12.94","","-1.90%"
"08/28/2017","13.19","13.19","13.19","13.19","","-6.45%"
"08/25/2017","14.10","14.10","14.10","14.10","","-3.29%"
"08/24/2017","14.58","14.58","14.58","14.58","","9.21%"
"08/23/2017","13.35","13.35","13.35","13.35","","3.65%"
"08/22/2017","12.88","12.88","12.88","12.88","","-15.37%"
"08/21/2017","15.22","15.22","15.22","15.22","","-3.79%"
"08/18/2017","15.82","15.82","15.82","15.82","","-6.39%"
"08/17/2017","16.90","16.90","16.90","16.90","","43.71%"
"08/16/2017","11.76","11.76","11.76","11.76","","-4.39%"
"08/15/2017","12.30","12.30","12.30","12.30","","-5.82%"
"08/14/2017","13.06","13.06","13.06","13.06","","-16.55%"
"08/11/2017","15.65","15.65","15.65","15.65","","-7.72%"
"08/10/2017","16.96","16.96","16.96","16.96","","41.45%"
"08/09/2017","11.99","11.99","11.99","11.99","","-2.84%"
"08/08/2017","12.34","12.34","12.34","12.34","","5.92%"
"08/07/2017","11.65","11.65","11.65","11.65","","-6.87%"
"08/04/2017","12.51","12.51","12.51","12.51","","-6.99%"
"08/03/2017","13.45","13.45","13.45","13.45","","10.43%"
"08/02/2017","12.18","12.18","12.18","12.18","","-3.10%"
"08/01/2017","12.57","12.57","12.57","12.57","","-5.84%"
"07/31/2017","13.35","13.35","13.35","13.35","","-1.69%"
"07/28/2017","13.58","13.58","13.58","13.58","","-1.88%"
"07/27/2017","13.84","13.84","13.84","13.84","","21.19%"
"07/26/2017","11.42","11.42","11.42","11.42","","-2.31%"
"07/25/2017","11.69","11.69","11.69","11.69","","-7.44%"
"07/24/2017","12.63","12.63","12.63","12.63","","-3.07%"
"07/21/2017","13.03","13.03","13.03","13.03","","-1.29%"
"07/20/2017","13.20","13.20","13.20","13.20","","9.73%"
"07/19/2017","12.03","12.03","12.03","12.03","","-0.50%"
"07/18/2017","12.09","12.09","12.09","12.09","","-5.18%"
"07/17/2017","12.75","12.75","12.75","12.75","","1.35%"
